,0,1,2,3,4,5,6
0,0.494,0.184,0.138,0.012,0.024,0.048,0.1
1,0.994,0.0,0.004,0.0,0.0,0.0,0.002
2,0.976,0.002,0.006,0.0,0.004,0.006,0.006
3,0.91,0.01,0.002,0.004,0.0,0.074,0.0
4,0.98,0.0,0.012,0.0,0.0,0.008,0.0
5,0.86,0.042,0.018,0.016,0.014,0.026,0.024
6,0.996,0.0,0.004,0.0,0.0,0.0,0.0
7,0.492,0.104,0.094,0.028,0.032,0.1,0.15
8,0.984,0.006,0.006,0.0,0.004,0.0,0.0
9,0.576,0.17,0.04,0.018,0.016,0.062,0.118
10,0.99,0.0,0.002,0.0,0.0,0.006,0.002
11,0.98,0.004,0.006,0.004,0.004,0.002,0.0
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.988,0.006,0.0,0.0,0.004,0.002,0.0
14,0.996,0.0,0.0,0.002,0.0,0.002,0.0
15,0.976,0.002,0.0,0.0,0.006,0.014,0.002
16,0.86,0.088,0.032,0.006,0.006,0.002,0.006
17,0.994,0.002,0.004,0.0,0.0,0.0,0.0
18,0.98,0.006,0.002,0.002,0.0,0.004,0.006
19,0.982,0.002,0.008,0.002,0.0,0.004,0.002
20,0.992,0.004,0.0,0.002,0.0,0.002,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.798,0.102,0.014,0.006,0.012,0.05,0.018
23,0.928,0.004,0.004,0.002,0.01,0.036,0.016
24,0.888,0.01,0.04,0.002,0.006,0.04,0.014
25,0.802,0.13,0.032,0.004,0.002,0.014,0.016
26,0.812,0.032,0.064,0.02,0.008,0.056,0.008
27,0.922,0.054,0.004,0.0,0.0,0.006,0.014
28,0.976,0.004,0.01,0.0,0.002,0.008,0.0
29,0.964,0.016,0.006,0.004,0.006,0.004,0.0
30,0.584,0.022,0.072,0.034,0.054,0.138,0.096
31,0.486,0.042,0.028,0.04,0.05,0.302,0.052
32,0.956,0.004,0.004,0.006,0.004,0.02,0.006
33,0.966,0.004,0.018,0.0,0.002,0.0,0.01
34,0.974,0.002,0.01,0.002,0.002,0.008,0.002
35,0.996,0.0,0.004,0.0,0.0,0.0,0.0
36,0.872,0.084,0.02,0.002,0.004,0.01,0.008
37,0.992,0.0,0.004,0.0,0.0,0.004,0.0
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.956,0.01,0.014,0.004,0.004,0.0,0.012
40,0.856,0.008,0.072,0.012,0.014,0.022,0.016
41,0.96,0.002,0.016,0.0,0.004,0.016,0.002
42,0.992,0.004,0.002,0.0,0.0,0.002,0.0
43,0.914,0.056,0.004,0.01,0.004,0.0,0.012
44,0.938,0.038,0.014,0.0,0.002,0.004,0.004
45,0.968,0.004,0.014,0.004,0.0,0.008,0.002
46,0.958,0.006,0.02,0.002,0.002,0.01,0.002
47,0.78,0.008,0.018,0.048,0.016,0.114,0.016
48,0.958,0.034,0.0,0.002,0.002,0.0,0.004
49,0.994,0.0,0.002,0.0,0.0,0.004,0.0
50,0.798,0.026,0.024,0.006,0.006,0.102,0.038
51,0.922,0.024,0.026,0.002,0.006,0.012,0.008
52,0.94,0.008,0.016,0.004,0.008,0.018,0.006
53,0.908,0.06,0.008,0.0,0.002,0.0,0.022
54,0.932,0.028,0.0,0.006,0.006,0.024,0.004
55,0.946,0.012,0.018,0.004,0.004,0.014,0.002
56,0.992,0.002,0.0,0.006,0.0,0.0,0.0
57,0.986,0.002,0.006,0.002,0.0,0.004,0.0
58,0.976,0.004,0.002,0.0,0.01,0.008,0.0
59,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.986,0.0,0.002,0.0,0.002,0.008,0.002
61,0.704,0.176,0.03,0.01,0.014,0.04,0.026
62,0.804,0.004,0.04,0.028,0.038,0.048,0.038
63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.558,0.062,0.042,0.046,0.096,0.14,0.056
65,0.868,0.072,0.038,0.0,0.01,0.002,0.01
66,0.874,0.052,0.018,0.0,0.012,0.018,0.026
67,0.94,0.004,0.024,0.002,0.01,0.012,0.008
68,0.89,0.008,0.004,0.002,0.008,0.054,0.034
69,0.996,0.0,0.0,0.002,0.002,0.0,0.0
70,0.928,0.0,0.016,0.01,0.012,0.028,0.006
71,0.992,0.002,0.0,0.0,0.0,0.002,0.004
72,0.958,0.01,0.002,0.004,0.006,0.006,0.014
73,0.978,0.002,0.002,0.0,0.004,0.01,0.004
74,0.91,0.012,0.008,0.0,0.002,0.006,0.062
75,0.996,0.002,0.0,0.0,0.0,0.0,0.002
76,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.89,0.044,0.008,0.0,0.026,0.02,0.012
78,0.98,0.004,0.01,0.002,0.004,0.0,0.0
79,0.98,0.004,0.002,0.0,0.002,0.002,0.01
80,0.95,0.006,0.026,0.0,0.004,0.008,0.006
81,0.97,0.002,0.008,0.0,0.004,0.006,0.01
82,0.726,0.026,0.112,0.014,0.016,0.076,0.03
83,0.948,0.01,0.006,0.004,0.004,0.028,0.0
84,0.99,0.0,0.004,0.002,0.002,0.002,0.0
85,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.998,0.0,0.0,0.0,0.0,0.002,0.0
88,0.998,0.0,0.002,0.0,0.0,0.0,0.0
89,0.994,0.006,0.0,0.0,0.0,0.0,0.0
90,0.986,0.0,0.006,0.002,0.0,0.006,0.0
91,0.972,0.002,0.004,0.0,0.008,0.004,0.01
92,0.958,0.006,0.006,0.006,0.014,0.002,0.008
93,0.996,0.004,0.0,0.0,0.0,0.0,0.0
94,0.996,0.0,0.002,0.0,0.002,0.0,0.0
95,0.99,0.004,0.002,0.002,0.002,0.0,0.0
96,0.974,0.006,0.002,0.01,0.0,0.008,0.0
97,0.964,0.024,0.0,0.002,0.006,0.0,0.004
98,0.842,0.088,0.006,0.01,0.024,0.018,0.012
99,0.966,0.02,0.008,0.0,0.0,0.0,0.006
100,0.99,0.004,0.002,0.002,0.0,0.002,0.0
101,0.992,0.0,0.0,0.0,0.0,0.002,0.006
102,0.97,0.004,0.006,0.006,0.008,0.004,0.002
103,0.878,0.034,0.008,0.004,0.006,0.04,0.03
104,0.908,0.05,0.0,0.002,0.01,0.02,0.01
105,0.756,0.026,0.004,0.004,0.012,0.15,0.048
106,0.982,0.004,0.0,0.0,0.004,0.01,0.0
107,0.854,0.012,0.0,0.002,0.002,0.13,0.0
108,0.96,0.0,0.02,0.002,0.008,0.01,0.0
109,0.972,0.0,0.0,0.0,0.002,0.026,0.0
110,0.998,0.0,0.002,0.0,0.0,0.0,0.0
111,0.996,0.0,0.0,0.0,0.0,0.004,0.0
112,0.996,0.0,0.0,0.0,0.0,0.004,0.0
113,0.932,0.002,0.008,0.004,0.006,0.044,0.004
114,0.998,0.0,0.002,0.0,0.0,0.0,0.0
115,0.988,0.0,0.006,0.002,0.002,0.002,0.0
116,0.994,0.0,0.0,0.0,0.002,0.004,0.0
117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.99,0.0,0.002,0.0,0.004,0.004,0.0
119,0.932,0.012,0.02,0.008,0.01,0.012,0.006
120,0.998,0.0,0.0,0.0,0.0,0.002,0.0
121,0.842,0.064,0.034,0.01,0.02,0.024,0.006
122,0.906,0.01,0.008,0.016,0.016,0.038,0.006
123,0.954,0.008,0.008,0.004,0.0,0.018,0.008
124,0.924,0.006,0.018,0.008,0.006,0.032,0.006
125,0.952,0.0,0.008,0.002,0.0,0.038,0.0
126,0.996,0.0,0.002,0.0,0.0,0.002,0.0
127,0.922,0.018,0.0,0.004,0.012,0.03,0.014
128,0.996,0.002,0.0,0.0,0.0,0.002,0.0
129,0.834,0.03,0.012,0.014,0.012,0.076,0.022
130,0.99,0.002,0.006,0.0,0.002,0.0,0.0
131,0.986,0.002,0.0,0.002,0.0,0.006,0.004
132,0.99,0.0,0.0,0.0,0.002,0.008,0.0
133,0.994,0.0,0.0,0.002,0.004,0.0,0.0
134,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.956,0.026,0.002,0.0,0.0,0.0,0.016
136,0.974,0.008,0.008,0.0,0.002,0.008,0.0
137,0.984,0.002,0.004,0.0,0.0,0.008,0.002
138,0.988,0.0,0.0,0.0,0.002,0.008,0.002
139,0.982,0.0,0.002,0.006,0.0,0.006,0.004
140,0.91,0.04,0.012,0.008,0.006,0.014,0.01
141,0.794,0.046,0.068,0.016,0.022,0.022,0.032
142,0.794,0.176,0.014,0.006,0.004,0.0,0.006
143,0.73,0.022,0.012,0.01,0.022,0.154,0.05
144,1.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.51,0.044,0.092,0.07,0.11,0.104,0.07
146,0.518,0.068,0.186,0.06,0.048,0.052,0.068
147,0.414,0.316,0.03,0.006,0.026,0.038,0.17
148,0.818,0.054,0.034,0.01,0.022,0.018,0.044
149,0.958,0.008,0.004,0.014,0.0,0.004,0.012
150,0.348,0.21,0.102,0.014,0.182,0.106,0.038
151,0.832,0.146,0.006,0.0,0.0,0.0,0.016
152,0.642,0.102,0.096,0.024,0.012,0.08,0.044
153,0.992,0.002,0.002,0.0,0.0,0.002,0.002
154,0.66,0.29,0.012,0.002,0.01,0.006,0.02
155,0.548,0.092,0.124,0.028,0.05,0.104,0.054
156,0.972,0.0,0.002,0.002,0.002,0.02,0.002
157,0.834,0.108,0.004,0.006,0.006,0.016,0.026
158,0.676,0.072,0.078,0.014,0.032,0.094,0.034
159,0.39,0.472,0.028,0.016,0.038,0.016,0.04
160,0.99,0.002,0.004,0.0,0.002,0.002,0.0
161,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.976,0.014,0.0,0.002,0.002,0.004,0.002
163,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.992,0.004,0.002,0.0,0.0,0.0,0.002
166,0.994,0.0,0.002,0.0,0.002,0.002,0.0
167,0.998,0.0,0.0,0.0,0.002,0.0,0.0
168,0.75,0.03,0.09,0.036,0.018,0.046,0.03
169,0.976,0.012,0.004,0.0,0.0,0.0,0.008
170,0.834,0.05,0.014,0.002,0.028,0.022,0.05
171,0.984,0.004,0.008,0.0,0.0,0.002,0.002
172,0.99,0.004,0.004,0.0,0.002,0.0,0.0
173,0.982,0.0,0.012,0.0,0.004,0.0,0.002
174,0.93,0.034,0.01,0.004,0.002,0.004,0.016
175,0.93,0.028,0.012,0.008,0.008,0.01,0.004
176,0.91,0.056,0.004,0.0,0.0,0.002,0.028
177,0.836,0.094,0.008,0.004,0.008,0.02,0.03
178,0.878,0.048,0.038,0.002,0.0,0.012,0.022
179,0.916,0.004,0.018,0.002,0.014,0.018,0.028
180,0.966,0.012,0.008,0.002,0.002,0.008,0.002
181,0.98,0.006,0.002,0.002,0.004,0.0,0.006
182,0.988,0.0,0.004,0.0,0.002,0.004,0.002
183,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0.966,0.012,0.002,0.002,0.006,0.006,0.006
185,0.966,0.006,0.008,0.002,0.01,0.008,0.0
